Sex,Age,Fault,PolicyType,VehiclePrice,RepNumber,Deductible,DriverRating,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,BasePolicy,FraudFound
Female,28,Third Party,Sedan - Collision,"20,000 to 29,000",6,400,1,none,7 years,31 to 35,No,No,External,Collision,No
Male,32,Policy Holder,Sedan - Liability,"20,000 to 29,000",6,400,1,1,7 years,31 to 35,No,No,External,Liability,No
Male,30,Third Party,Sedan - Liability,"more than 69,000",2,400,2,2 to 4,6 years,31 to 35,No,No,External,Liability,No
Male,40,Policy Holder,Sedan - Liability,"20,000 to 29,000",3,400,1,1,more than 7,36 to 40,No,No,External,Liability,No
Male,47,Policy Holder,Sedan - Collision,"20,000 to 29,000",13,400,2,1,more than 7,41 to 50,No,No,External,Collision,No
Male,63,Policy Holder,Sedan - Liability,"20,000 to 29,000",8,400,3,1,more than 7,51 to 65,No,No,External,Liability,No
Male,31,Third Party,Sedan - Liability,"30,000 to 39,000",5,400,3,none,6 years,31 to 35,No,No,External,Liability,No
Male,45,Policy Holder,Sedan - All Perils,"more than 69,000",12,400,3,more than 4,more than 7,36 to 40,Yes,No,External,All Perils,No
Male,60,Policy Holder,Sedan - Liability,"20,000 to 29,000",16,400,4,more than 4,more than 7,51 to 65,No,No,External,Liability,No
Male,21,Policy Holder,Sedan - Collision,"30,000 to 39,000",1,400,2,more than 4,5 years,26 to 30,No,No,External,Collision,No
Male,42,Policy Holder,Sedan - All Perils,"30,000 to 39,000",1,400,3,2 to 4,7 years,36 to 40,No,No,External,All Perils,No
Male,0,Policy Holder,Sedan - All Perils,"more than 69,000",9,400,1,none,new,16 to 17,No,No,External,All Perils,Yes
Female,39,Policy Holder,Sedan - Collision,"20,000 to 29,000",12,400,3,none,7 years,36 to 40,No,No,External,Collision,No
Male,47,Policy Holder,Sedan - Collision,"30,000 to 39,000",2,400,1,2 to 4,more than 7,41 to 50,No,No,Internal,Collision,No
Male,0,Policy Holder,Sedan - Collision,"more than 69,000",6,400,1,1,new,16 to 17,No,No,External,Collision,No
Male,42,Policy Holder,Sedan - Collision,"20,000 to 29,000",2,400,3,more than 4,7 years,36 to 40,No,No,External,Collision,No
Male,30,Third Party,Sedan - Collision,"20,000 to 29,000",2,400,4,none,6 years,31 to 35,No,No,External,Collision,No
Male,42,Policy Holder,Utility - All Perils,"more than 69,000",12,400,1,2 to 4,7 years,36 to 40,No,No,External,All Perils,No
Male,34,Third Party,Sedan - Liability,"20,000 to 29,000",5,400,3,2 to 4,7 years,31 to 35,No,No,External,Liability,No
Male,30,Third Party,Sedan - Collision,"20,000 to 29,000",11,400,4,none,6 years,31 to 35,No,No,External,Collision,No
Male,27,Policy Holder,Sedan - Collision,"30,000 to 39,000",4,400,2,none,7 years,31 to 35,No,No,External,Collision,No
Male,55,Policy Holder,Sport - Collision,"more than 69,000",12,400,1,none,more than 7,41 to 50,No,No,External,Collision,No
Male,35,Policy Holder,Sedan - Collision,"20,000 to 29,000",1,400,3,none,7 years,31 to 35,No,No,External,Collision,No
Female,35,Policy Holder,Sedan - Collision,"20,000 to 29,000",11,400,1,2 to 4,6 years,31 to 35,No,No,External,Collision,No
Male,44,Policy Holder,Sedan - All Perils,"20,000 to 29,000",15,400,1,2 to 4,7 years,36 to 40,No,No,External,All Perils,No
Female,42,Policy Holder,Sedan - Liability,"20,000 to 29,000",12,400,4,none,4 years,36 to 40,No,No,External,Liability,No
Male,41,Policy Holder,Sedan - Collision,"20,000 to 29,000",5,400,2,2 to 4,7 years,36 to 40,No,No,External,Collision,No
Male,72,Third Party,Sedan - Collision,"20,000 to 29,000",16,400,1,none,more than 7,over 65,No,No,External,Collision,No
Female,29,Third Party,Sedan - All Perils,"less than 20,000",8,400,3,2 to 4,5 years,31 to 35,No,No,External,All Perils,No
Male,32,Third Party,Sedan - Collision,"30,000 to 39,000",9,400,4,none,6 years,31 to 35,No,No,Internal,Collision,No
Male,37,Policy Holder,Sedan - Liability,"30,000 to 39,000",13,400,3,2 to 4,5 years,36 to 40,No,No,External,Liability,No
Female,37,Policy Holder,Sedan - Liability,"more than 69,000",10,400,1,2 to 4,6 years,36 to 40,No,No,External,Liability,No
Male,59,Policy Holder,Sedan - Collision,"20,000 to 29,000",9,400,4,more than 4,more than 7,51 to 65,No,No,External,Collision,No
Male,49,Policy Holder,Sedan - Liability,"30,000 to 39,000",14,400,2,more than 4,more than 7,41 to 50,No,No,External,Liability,No
Male,27,Policy Holder,Sedan - Liability,"20,000 to 29,000",4,500,3,2 to 4,6 years,31 to 35,No,No,External,Liability,No
Male,21,Policy Holder,Sport - Collision,"more than 69,000",4,400,4,none,4 years,26 to 30,No,No,External,Collision,Yes
Male,50,Policy Holder,Sedan - Collision,"20,000 to 29,000",13,400,1,none,more than 7,41 to 50,No,No,External,Collision,Yes
Male,45,Policy Holder,Sedan - Collision,"30,000 to 39,000",8,400,1,1,7 years,36 to 40,No,No,External,Collision,No
Male,49,Third Party,Sedan - All Perils,"20,000 to 29,000",7,400,4,none,more than 7,41 to 50,No,No,External,All Perils,No
Male,30,Policy Holder,Sedan - All Perils,"20,000 to 29,000",5,400,4,2 to 4,6 years,31 to 35,No,No,External,All Perils,No
Male,37,Policy Holder,Sedan - Collision,"more than 69,000",11,400,3,2 to 4,7 years,36 to 40,No,No,External,Collision,No
Male,0,Policy Holder,Sedan - Liability,"more than 69,000",15,400,4,none,new,16 to 17,No,No,External,Liability,No
Female,27,Policy Holder,Sedan - Collision,"20,000 to 29,000",4,400,4,none,6 years,31 to 35,No,No,External,Collision,No
Male,30,Policy Holder,Sedan - All Perils,"30,000 to 39,000",5,400,4,none,5 years,31 to 35,No,No,External,All Perils,No
Male,49,Policy Holder,Utility - Collision,"40,000 to 59,000",6,400,4,none,more than 7,41 to 50,No,No,External,Collision,No
Male,0,Third Party,Sedan - All Perils,"more than 69,000",3,400,2,2 to 4,new,16 to 17,No,No,External,All Perils,No
Male,26,Policy Holder,Sedan - Liability,"20,000 to 29,000",13,400,3,2 to 4,7 years,31 to 35,No,No,External,Liability,No
Male,48,Policy Holder,Sedan - Collision,"20,000 to 29,000",1,400,1,none,7 years,41 to 50,No,No,External,Collision,No
Male,31,Policy Holder,Sedan - All Perils,"20,000 to 29,000",6,400,3,none,7 years,31 to 35,No,No,External,All Perils,No
Male,40,Third Party,Sedan - Collision,"more than 69,000",16,400,2,1,7 years,36 to 40,No,No,External,Collision,No
Male,65,Policy Holder,Sedan - Liability,"30,000 to 39,000",12,400,1,2 to 4,more than 7,51 to 65,No,No,External,Liability,No
Male,64,Policy Holder,Sedan - Collision,"20,000 to 29,000",5,400,1,1,more than 7,51 to 65,No,No,External,Collision,No
Male,55,Policy Holder,Sedan - Liability,"20,000 to 29,000",12,400,2,2 to 4,7 years,41 to 50,No,No,External,Liability,No
Male,44,Policy Holder,Sedan - Collision,"20,000 to 29,000",16,400,1,2 to 4,7 years,36 to 40,No,No,External,Collision,No
Male,27,Policy Holder,Sedan - Collision,"20,000 to 29,000",9,400,3,1,6 years,31 to 35,No,No,External,Collision,No
Female,28,Third Party,Sedan - Collision,"20,000 to 29,000",5,400,3,1,5 years,31 to 35,No,No,External,Collision,No
Male,47,Third Party,Sedan - Collision,"20,000 to 29,000",7,400,2,1,more than 7,41 to 50,No,No,External,Collision,No
Male,60,Third Party,Sedan - Collision,"more than 69,000",12,400,3,more than 4,7 years,51 to 65,No,No,External,Collision,No
Male,33,Third Party,Sedan - Collision,"30,000 to 39,000",9,400,4,more than 4,6 years,31 to 35,No,No,External,Collision,No
Male,27,Third Party,Sedan - All Perils,"20,000 to 29,000",1,400,3,none,6 years,31 to 35,No,No,External,All Perils,No
Female,47,Third Party,Sport - Collision,"more than 69,000",12,400,3,none,more than 7,41 to 50,No,No,External,Collision,No
Female,29,Policy Holder,Sedan - Liability,"30,000 to 39,000",16,400,1,2 to 4,5 years,31 to 35,No,No,External,Liability,No
Female,33,Third Party,Sedan - Collision,"30,000 to 39,000",10,400,1,2 to 4,7 years,31 to 35,No,No,External,Collision,No
Male,38,Policy Holder,Sedan - Liability,"20,000 to 29,000",13,400,4,2 to 4,6 years,36 to 40,No,No,External,Liability,No
Male,37,Third Party,Sedan - Liability,"20,000 to 29,000",6,400,2,1,7 years,36 to 40,No,No,External,Liability,No
Male,36,Third Party,Sedan - All Perils,"more than 69,000",13,400,4,none,7 years,36 to 40,No,No,External,All Perils,No
Female,44,Policy Holder,Sedan - Liability,"20,000 to 29,000",9,400,4,none,6 years,36 to 40,No,No,External,Liability,No
Male,0,Policy Holder,Sedan - Liability,"more than 69,000",6,400,2,more than 4,new,16 to 17,No,No,External,Liability,No
Male,27,Policy Holder,Utility - Liability,"more than 69,000",4,400,4,1,6 years,31 to 35,No,No,External,Liability,No
Male,27,Policy Holder,Sedan - Collision,"20,000 to 29,000",14,400,3,1,6 years,31 to 35,No,No,External,Collision,No
Male,39,Third Party,Sedan - All Perils,"20,000 to 29,000",1,400,2,2 to 4,4 years,36 to 40,No,No,External,All Perils,No
Male,74,Third Party,Sedan - All Perils,"30,000 to 39,000",13,400,4,none,7 years,over 65,No,No,External,All Perils,No
Male,23,Policy Holder,Sedan - Liability,"20,000 to 29,000",8,400,2,2 to 4,4 years,26 to 30,No,No,External,Liability,No
Female,25,Third Party,Sport - Collision,"more than 69,000",2,400,1,none,6 years,26 to 30,No,No,External,Collision,No
Male,38,Policy Holder,Sedan - Liability,"20,000 to 29,000",13,400,2,more than 4,7 years,36 to 40,No,No,External,Liability,No
Male,41,Policy Holder,Sedan - All Perils,"30,000 to 39,000",16,400,1,2 to 4,7 years,36 to 40,No,No,External,All Perils,No
Male,38,Policy Holder,Sedan - Collision,"20,000 to 29,000",13,700,3,2 to 4,7 years,36 to 40,No,No,External,Collision,No
Male,34,Policy Holder,Sport - Collision,"more than 69,000",7,400,3,none,7 years,31 to 35,No,No,External,Collision,Yes
Male,61,Third Party,Sedan - Collision,"30,000 to 39,000",15,400,4,none,more than 7,51 to 65,No,No,External,Collision,No
Male,38,Policy Holder,Sedan - Collision,"20,000 to 29,000",7,400,2,1,7 years,36 to 40,No,No,External,Collision,Yes
Male,40,Policy Holder,Sedan - All Perils,"less than 20,000",4,400,4,1,7 years,36 to 40,No,No,External,All Perils,No
Male,41,Third Party,Sedan - All Perils,"20,000 to 29,000",12,400,4,2 to 4,7 years,36 to 40,No,No,External,All Perils,No
Male,36,Policy Holder,Sedan - All Perils,"20,000 to 29,000",10,400,1,1,7 years,36 to 40,No,No,External,All Perils,No
Male,31,Policy Holder,Utility - All Perils,"more than 69,000",2,400,1,more than 4,7 years,31 to 35,No,No,External,All Perils,Yes
Female,35,Third Party,Sedan - All Perils,"20,000 to 29,000",10,400,4,1,6 years,31 to 35,No,No,External,All Perils,No
Female,37,Policy Holder,Sedan - All Perils,"more than 69,000",14,500,2,2 to 4,6 years,36 to 40,Yes,No,External,All Perils,No
Male,55,Policy Holder,Sedan - All Perils,"20,000 to 29,000",14,400,3,none,more than 7,41 to 50,No,No,External,All Perils,No
Male,31,Third Party,Sedan - All Perils,"20,000 to 29,000",12,400,4,2 to 4,7 years,31 to 35,No,No,External,All Perils,No
Male,28,Policy Holder,Sedan - Liability,"more than 69,000",5,400,1,none,7 years,31 to 35,No,No,External,Liability,No
Male,28,Policy Holder,Sedan - Collision,"20,000 to 29,000",11,400,2,2 to 4,7 years,31 to 35,No,No,External,Collision,No
Male,44,Third Party,Sedan - All Perils,"20,000 to 29,000",11,400,1,none,7 years,36 to 40,No,No,External,All Perils,No
Male,47,Policy Holder,Sedan - All Perils,"20,000 to 29,000",1,400,1,1,more than 7,41 to 50,No,No,External,All Perils,No
Male,40,Policy Holder,Sedan - Liability,"20,000 to 29,000",16,400,4,none,6 years,36 to 40,No,No,External,Liability,No
Male,23,Policy Holder,Sedan - Collision,"20,000 to 29,000",4,400,2,2 to 4,5 years,26 to 30,No,No,External,Collision,No
Male,31,Policy Holder,Sedan - All Perils,"20,000 to 29,000",6,400,3,2 to 4,6 years,31 to 35,No,No,External,All Perils,No
Male,35,Third Party,Sedan - All Perils,"20,000 to 29,000",9,400,1,none,6 years,31 to 35,No,No,External,All Perils,No
Male,56,Policy Holder,Utility - All Perils,"more than 69,000",10,400,2,none,more than 7,51 to 65,No,No,External,All Perils,Yes
Male,50,Third Party,Sedan - Collision,"20,000 to 29,000",2,400,3,1,more than 7,41 to 50,No,No,External,Collision,No
Male,16,Third Party,Sport - Collision,"more than 69,000",2,400,1,2 to 4,4 years,18 to 20,No,No,External,Collision,No
Male,32,Third Party,Sedan - Collision,"30,000 to 39,000",12,400,2,1,7 years,31 to 35,No,Yes,External,Collision,No
Male,28,Policy Holder,Sedan - Liability,"20,000 to 29,000",4,400,3,2 to 4,6 years,31 to 35,No,No,External,Liability,No
Male,68,Policy Holder,Sedan - All Perils,"20,000 to 29,000",9,400,3,2 to 4,5 years,over 65,No,No,External,All Perils,Yes
Male,0,Policy Holder,Sedan - All Perils,"more than 69,000",7,400,3,none,new,16 to 17,No,No,External,All Perils,Yes
Male,0,Policy Holder,Sedan - All Perils,"more than 69,000",8,400,3,none,new,16 to 17,No,No,External,All Perils,No
Female,18,Third Party,Sport - Collision,"more than 69,000",12,400,4,none,2 years,21 to 25,No,No,External,Collision,No
Male,30,Policy Holder,Sedan - Collision,"more than 69,000",2,400,1,more than 4,6 years,31 to 35,No,No,External,Collision,No
Male,51,Policy Holder,Sedan - Collision,"20,000 to 29,000",1,400,4,more than 4,more than 7,41 to 50,No,No,External,Collision,No
Male,22,Third Party,Sedan - All Perils,"30,000 to 39,000",6,400,3,none,6 years,26 to 30,No,No,External,All Perils,No
Female,26,Policy Holder,Sedan - Liability,"20,000 to 29,000",16,400,4,2 to 4,7 years,31 to 35,No,No,External,Liability,No
Male,53,Policy Holder,Sedan - Collision,"30,000 to 39,000",15,400,2,none,more than 7,41 to 50,Yes,No,External,Collision,No
Male,38,Policy Holder,Sedan - Liability,"30,000 to 39,000",13,400,3,2 to 4,7 years,36 to 40,No,No,External,Liability,No
Male,27,Third Party,Sedan - Liability,"30,000 to 39,000",9,400,3,more than 4,6 years,31 to 35,No,Yes,External,Liability,No
Male,29,Policy Holder,Sedan - Collision,"20,000 to 29,000",14,400,3,2 to 4,7 years,31 to 35,No,No,External,Collision,No
Male,32,Policy Holder,Sedan - Collision,"20,000 to 29,000",10,400,1,more than 4,5 years,31 to 35,No,No,External,Collision,No
Male,18,Third Party,Sedan - Collision,"20,000 to 29,000",14,400,3,none,3 years,21 to 25,No,No,External,Collision,No
Male,60,Third Party,Sedan - Collision,"20,000 to 29,000",6,400,4,2 to 4,more than 7,51 to 65,No,No,External,Collision,No
Male,53,Policy Holder,Sedan - Collision,"more than 69,000",12,400,3,none,more than 7,41 to 50,No,No,External,Collision,No
Male,29,Policy Holder,Sedan - Collision,"20,000 to 29,000",16,400,4,1,6 years,31 to 35,No,No,External,Collision,No
Male,29,Policy Holder,Sedan - Collision,"20,000 to 29,000",6,400,2,1,7 years,31 to 35,No,No,External,Collision,No
Male,41,Third Party,Sedan - Collision,"20,000 to 29,000",9,400,4,1,7 years,36 to 40,No,No,External,Collision,No
Male,29,Policy Holder,Sedan - All Perils,"20,000 to 29,000",9,400,4,none,7 years,31 to 35,No,No,External,All Perils,No
Male,42,Policy Holder,Sedan - All Perils,"20,000 to 29,000",2,400,2,more than 4,7 years,36 to 40,No,No,External,All Perils,No
Male,34,Policy Holder,Sedan - All Perils,"less than 20,000",9,400,2,none,7 years,31 to 35,No,No,External,All Perils,No
Male,51,Policy Holder,Sport - Collision,"more than 69,000",11,400,4,1,more than 7,41 to 50,No,No,External,Collision,No
Male,32,Policy Holder,Sedan - All Perils,"20,000 to 29,000",3,400,4,1,6 years,31 to 35,No,No,External,All Perils,No
Male,52,Policy Holder,Sedan - Liability,"20,000 to 29,000",10,400,4,none,more than 7,41 to 50,No,No,Internal,Liability,No
Male,61,Policy Holder,Sedan - Collision,"20,000 to 29,000",8,400,2,2 to 4,more than 7,51 to 65,No,No,External,Collision,No
Male,25,Third Party,Sedan - Liability,"20,000 to 29,000",1,400,4,2 to 4,5 years,26 to 30,No,No,External,Liability,No
Male,41,Policy Holder,Sedan - All Perils,"30,000 to 39,000",6,400,1,none,7 years,36 to 40,No,No,External,All Perils,No
Male,33,Third Party,Sedan - Liability,"30,000 to 39,000",10,400,1,none,6 years,31 to 35,No,No,External,Liability,No
Male,39,Policy Holder,Sedan - All Perils,"30,000 to 39,000",1,400,3,none,more than 7,36 to 40,No,No,External,All Perils,Yes
Male,30,Policy Holder,Sedan - Collision,"30,000 to 39,000",13,400,1,none,6 years,31 to 35,No,No,External,Collision,No
Male,50,Policy Holder,Sedan - Collision,"20,000 to 29,000",15,400,4,none,more than 7,41 to 50,No,No,External,Collision,No
Female,31,Third Party,Sedan - Collision,"20,000 to 29,000",8,400,1,2 to 4,7 years,31 to 35,No,No,External,Collision,No
Male,23,Policy Holder,Sedan - Liability,"30,000 to 39,000",8,400,4,more than 4,5 years,26 to 30,No,No,External,Liability,No
Male,31,Third Party,Sedan - Liability,"30,000 to 39,000",10,400,3,1,7 years,31 to 35,No,No,External,Liability,No
Male,50,Third Party,Sedan - All Perils,"20,000 to 29,000",2,500,3,2 to 4,7 years,41 to 50,No,No,External,All Perils,No
Female,33,Third Party,Sedan - Liability,"20,000 to 29,000",8,400,3,2 to 4,6 years,31 to 35,No,No,External,Liability,No
Male,30,Policy Holder,Sedan - Liability,"30,000 to 39,000",6,400,2,more than 4,6 years,31 to 35,No,No,External,Liability,No
Male,44,Policy Holder,Sedan - Collision,"40,000 to 59,000",13,400,1,more than 4,more than 7,36 to 40,No,No,External,Collision,No
Male,46,Policy Holder,Sedan - All Perils,"more than 69,000",13,400,2,1,7 years,41 to 50,No,No,External,All Perils,No
Male,31,Policy Holder,Sedan - Liability,"20,000 to 29,000",11,400,4,2 to 4,6 years,31 to 35,No,No,External,Liability,No
Male,48,Policy Holder,Sedan - Liability,"20,000 to 29,000",5,400,3,2 to 4,more than 7,41 to 50,No,No,External,Liability,No
Male,33,Policy Holder,Sedan - All Perils,"more than 69,000",12,400,3,none,6 years,31 to 35,No,No,External,All Perils,Yes
Male,0,Policy Holder,Sedan - Liability,"more than 69,000",3,400,1,2 to 4,new,16 to 17,No,No,External,Liability,No
Female,37,Third Party,Sedan - Liability,"more than 69,000",5,400,3,1,7 years,36 to 40,No,No,External,Liability,No
Male,43,Third Party,Sedan - All Perils,"less than 20,000",3,400,3,none,7 years,36 to 40,No,No,External,All Perils,No
Female,32,Third Party,Sedan - Collision,"30,000 to 39,000",14,400,1,more than 4,4 years,31 to 35,No,No,External,Collision,No
Male,57,Policy Holder,Sedan - Liability,"20,000 to 29,000",4,400,1,2 to 4,more than 7,51 to 65,No,No,External,Liability,No
Male,65,Third Party,Sedan - All Perils,"20,000 to 29,000",8,400,2,1,more than 7,51 to 65,No,No,External,All Perils,No
Female,27,Policy Holder,Sedan - Collision,"20,000 to 29,000",12,400,4,none,6 years,31 to 35,No,No,External,Collision,No
Male,42,Policy Holder,Utility - All Perils,"more than 69,000",6,400,4,2 to 4,more than 7,36 to 40,No,No,External,All Perils,No
Male,57,Policy Holder,Sedan - Liability,"20,000 to 29,000",7,400,1,2 to 4,more than 7,51 to 65,No,No,External,Liability,No
Male,32,Policy Holder,Sedan - All Perils,"20,000 to 29,000",2,400,3,none,7 years,31 to 35,No,No,External,All Perils,No
Male,29,Policy Holder,Sedan - Liability,"20,000 to 29,000",7,400,2,2 to 4,7 years,31 to 35,No,No,External,Liability,No
Male,36,Policy Holder,Sedan - Collision,"30,000 to 39,000",2,400,4,none,7 years,36 to 40,No,No,External,Collision,No
Male,28,Policy Holder,Sedan - Liability,"30,000 to 39,000",2,400,4,2 to 4,6 years,31 to 35,No,No,External,Liability,No
Female,32,Policy Holder,Sedan - All Perils,"less than 20,000",14,400,1,1,6 years,31 to 35,No,No,External,All Perils,No
Male,33,Policy Holder,Sedan - All Perils,"20,000 to 29,000",1,400,2,none,6 years,31 to 35,No,No,External,All Perils,No
Male,37,Policy Holder,Sedan - All Perils,"30,000 to 39,000",1,400,2,2 to 4,more than 7,36 to 40,No,No,External,All Perils,No
Female,26,Policy Holder,Sedan - Liability,"20,000 to 29,000",16,400,3,more than 4,6 years,31 to 35,No,No,External,Liability,No
Male,53,Policy Holder,Sedan - All Perils,"20,000 to 29,000",5,400,1,1,more than 7,41 to 50,No,No,External,All Perils,No
Male,53,Third Party,Sedan - All Perils,"20,000 to 29,000",12,400,3,1,more than 7,41 to 50,No,No,External,All Perils,No
Male,74,Policy Holder,Sedan - All Perils,"less than 20,000",8,400,4,2 to 4,more than 7,over 65,No,No,External,All Perils,No
Male,50,Policy Holder,Sedan - Collision,"20,000 to 29,000",3,400,2,1,7 years,41 to 50,No,No,External,Collision,No
Male,27,Third Party,Sedan - All Perils,"20,000 to 29,000",3,400,4,none,6 years,31 to 35,No,No,External,All Perils,No
Male,48,Third Party,Sedan - All Perils,"20,000 to 29,000",7,400,1,more than 4,more than 7,41 to 50,No,No,External,All Perils,No
Female,55,Third Party,Sedan - All Perils,"20,000 to 29,000",2,400,2,none,7 years,41 to 50,No,No,External,All Perils,No
Male,48,Policy Holder,Sedan - All Perils,"20,000 to 29,000",10,400,4,none,more than 7,41 to 50,No,No,External,All Perils,No
Male,0,Third Party,Sedan - Liability,"more than 69,000",8,400,4,2 to 4,new,16 to 17,No,No,External,Liability,No
Male,54,Third Party,Sedan - Liability,"20,000 to 29,000",10,400,4,1,7 years,41 to 50,No,No,External,Liability,No
Male,36,Policy Holder,Sedan - Liability,"30,000 to 39,000",14,400,1,more than 4,7 years,36 to 40,No,No,External,Liability,No
Male,43,Policy Holder,Sedan - All Perils,"30,000 to 39,000",10,400,2,2 to 4,more than 7,36 to 40,No,No,External,All Perils,Yes
Male,41,Policy Holder,Sedan - Collision,"30,000 to 39,000",1,400,4,none,more than 7,36 to 40,No,No,External,Collision,No
Male,48,Policy Holder,Sedan - All Perils,"20,000 to 29,000",6,400,2,2 to 4,more than 7,41 to 50,No,No,External,All Perils,No
Male,26,Policy Holder,Utility - All Perils,"more than 69,000",14,400,2,none,6 years,31 to 35,No,No,External,All Perils,Yes
Female,43,Policy Holder,Sedan - All Perils,"20,000 to 29,000",1,400,3,none,6 years,36 to 40,No,No,External,All Perils,No
Male,39,Policy Holder,Sport - Collision,"more than 69,000",13,400,3,none,more than 7,36 to 40,No,No,External,Collision,Yes
Male,49,Third Party,Sedan - Collision,"30,000 to 39,000",4,400,3,1,more than 7,41 to 50,No,No,External,Collision,No
Male,37,Third Party,Sedan - Collision,"30,000 to 39,000",14,400,3,2 to 4,7 years,36 to 40,No,No,External,Collision,No
Male,36,Third Party,Sedan - Collision,"20,000 to 29,000",1,400,3,2 to 4,7 years,36 to 40,No,No,External,Collision,No
Female,52,Policy Holder,Sedan - All Perils,"20,000 to 29,000",4,400,4,2 to 4,6 years,41 to 50,No,No,External,All Perils,No
Male,29,Third Party,Sedan - All Perils,"less than 20,000",16,400,4,none,6 years,31 to 35,No,No,External,All Perils,No
Male,38,Third Party,Sedan - Collision,"20,000 to 29,000",10,400,4,none,more than 7,36 to 40,No,No,External,Collision,No
Male,34,Policy Holder,Sedan - Collision,"20,000 to 29,000",2,400,4,1,6 years,31 to 35,No,No,External,Collision,No
Male,0,Policy Holder,Sedan - Collision,"more than 69,000",14,400,3,2 to 4,new,16 to 17,No,No,External,Collision,No
Male,41,Policy Holder,Sedan - Liability,"30,000 to 39,000",6,400,4,none,7 years,36 to 40,No,No,External,Liability,No
Male,41,Third Party,Sedan - All Perils,"less than 20,000",16,500,3,2 to 4,7 years,36 to 40,No,No,External,All Perils,Yes
Male,64,Policy Holder,Sedan - Collision,"20,000 to 29,000",15,400,3,1,more than 7,51 to 65,No,No,External,Collision,No
Male,27,Policy Holder,Sedan - Collision,"more than 69,000",11,400,4,2 to 4,4 years,31 to 35,No,No,External,Collision,Yes
Male,25,Policy Holder,Sedan - Collision,"more than 69,000",5,400,4,2 to 4,5 years,26 to 30,No,No,External,Collision,No
Male,21,Third Party,Sedan - Collision,"20,000 to 29,000",5,400,2,1,5 years,26 to 30,No,No,External,Collision,No
Male,31,Third Party,Sedan - All Perils,"less than 20,000",16,400,2,none,6 years,31 to 35,No,No,External,All Perils,No
Male,39,Policy Holder,Sedan - Collision,"20,000 to 29,000",3,400,1,none,more than 7,36 to 40,No,No,External,Collision,No
Female,37,Third Party,Sedan - All Perils,"less than 20,000",1,400,1,none,5 years,36 to 40,No,No,External,All Perils,No
Male,41,Policy Holder,Sedan - Collision,"20,000 to 29,000",11,400,4,more than 4,7 years,36 to 40,No,No,External,Collision,No
Male,37,Policy Holder,Sedan - All Perils,"20,000 to 29,000",16,400,4,none,7 years,36 to 40,No,No,External,All Perils,No
Male,28,Policy Holder,Sedan - Collision,"30,000 to 39,000",7,400,1,2 to 4,7 years,31 to 35,No,No,External,Collision,No
Male,57,Policy Holder,Sedan - Collision,"20,000 to 29,000",12,400,1,none,more than 7,51 to 65,No,No,External,Collision,No
Male,61,Policy Holder,Sedan - Collision,"20,000 to 29,000",9,400,2,none,more than 7,51 to 65,Yes,No,External,Collision,No
Male,69,Policy Holder,Sedan - Liability,"20,000 to 29,000",3,700,4,more than 4,more than 7,over 65,No,No,External,Liability,No
Male,67,Policy Holder,Sedan - Collision,"20,000 to 29,000",11,400,1,1,more than 7,over 65,No,No,External,Collision,No
